Post title,Post link,Created date,Impressions,Views,Click through rate (CTR),Engagement rate,Count
"Small Modular Reactors (SMRs) can provide energy-hungry facilities with direct, on-site power. Behind-the-meter strategies like this are critical for easing the stress placed on our grid from our booming data center, advanced manufacturing, and EV sectors—all without passing development costs onto ratepayers. Learn more about this technology that will play a crucial role in Virginia's reliable, affordable, and increasingly clean energy future!

https://lnkd.in/gdpGa_Qx",https://www.linkedin.com/feed/update/urn:li:activity:7329959094562230273,05/18/2025,965,,3.3%,4.9%,1
"A few key takeaways from this interesting US energy sector #carbonemissions. graphic from Visual Capitalist:

 ? Nuclear, alongside renewables, accounts for zero carbon emissions.
 ? While natural gas does contribute to CO2 emissions, is heavily diversified in its uses, and accounts for a significant supply of baseload power. 
 ? Nationally, coal remains a significant contributor to electricity generation, but in Virginia, only about 4% of our energy is derived from coal. Most of our coal is actually metallurgical and is used to produce steel and other products #metcoal

More on this graphic at https://lnkd.in/eWkzSGaS
",https://www.linkedin.com/feed/update/urn:li:activity:7278450814069686273,12/13/2024,493,,3.2%,4.9%,1
"Virginia continues to solidify its role as the nation’s leader in nuclear innovation with an investment in a new research and education reactor facility and a nuclear materials research center! These projects will enable cutting-edge research and expand in-state workforce development and energy security infrastructure thanks to $1.2 million in funding from Virginia Energy's Virginia Power Innovation Program and in partnership with Virginia’s top universities and nuclear leaders.

https://lnkd.in/gDeF-J5R",https://www.linkedin.com/feed/update/urn:li:activity:7330285359064375298,05/19/2025,1489,,3.2%,4.8%,1
"From fusion power to methane capture in Southwest Virginia, we’re advancing energy innovation, growing our workforce, and making a real impact across the Commonwealth. Catch up on everything happening at Virginia Energy in our latest newsletter!

https://conta.cc/45Qnd0i
",https://www.linkedin.com/feed/update/urn:li:activity:7349438531200581632,07/11/2025,704,,3.8%,4.8%,1
"Boosting domestic low enriched uranium production strengthens US energy independence, bolsters our nuclear fuel supply chain, creates high-quality jobs in the clean energy sector, and will ultimately support Virginia's long term investment in its clean, reliable nuclear infrastructure.

https://lnkd.in/dkThdhjU",https://www.linkedin.com/feed/update/urn:li:activity:7273714657805156354,12/14/2024,456,,2.9%,4.8%,1
Join Virginia Energy for Earth Science Week and take the opportunity to speak with our geologists about how the geosciences impact your daily life. Visit our table at the Charlottesville Area Fall Tree Sale on October 19th from 9:00 to 10:30 am at 900 Natural Resources Drive. This is an excellent outdoor fall season activity for families in the area!,https://www.linkedin.com/feed/update/urn:li:activity:7253163280733540353,10/18/2024,187,,1.6%,4.8%,1
"As Virginia’s population and economy grow, so does our demand for reliable, homegrown energy. As we continue to diversify our energy mix, biomass offers a way to support rural economies, reduce waste, and deliver on clean energy goals—without sacrificing reliability. Learn more at the link below. 

https://lnkd.in/eQ6_yvyQ",https://www.linkedin.com/feed/update/urn:li:activity:7337478726764429313,06/08/2025,416,,1.9%,4.8%,1
"Virginia Energy is seeking a Gas and Oil Compliance/Permit Specialist for its Division of Gas and Oil (DGO). This role is responsible for approving permits and providing compliance, technical, and informational services to Virginia Energy and its customers.

Learn more and apply at https://lnkd.in/eawv7uhw",https://www.linkedin.com/feed/update/urn:li:activity:7364712067318050816,08/22/2025,209,,3.8%,4.8%,1
"Virginia #k12 science teachers: access free nuclear energy resources from the the U.S. Department of Energy (DOE) and the American Nuclear Society including STEM project starters, digital lesson plans, nuclear industry career profiles, and exciting Virtual Field Trips! 

https://lnkd.in/eknZsx4q

#ScienceEd #STEM #ScienceTeacher",https://www.linkedin.com/feed/update/urn:li:activity:7260999871837401089,11/09/2024,648,,1.7%,4.8%,1
"Having already driven major emissions reductions through the transition from coal to cleaner-burning natural gas, Virginia can maintain this momentum with nuclear power working alongside renewables and natural gas to create a balanced grid that is reliable, affordable, and increasingly clean.

Learn more about Virginia's energy future at https://lnkd.in/d8FJcwa7",https://www.linkedin.com/feed/update/urn:li:activity:7296906376881057792,02/16/2025,565,,2.5%,4.8%,1
"Did you know that the vast majority of coal mined in Virginia is NOT used for energy production? Instead, Virginia coal plays a critical role in a wide variety of manufacturing processes such as global steel production. From roads and bridges, to homes and hospitals - the strength and durability of our modern infrastructure is thanks in-part to Virginia's coal mining efforts.",https://www.linkedin.com/feed/update/urn:li:activity:7247349858032848899,10/02/2024,293,,1.4%,4.8%,1
"While concern over energy affordability and availability has eased since a peak in 2022, a new Gallup poll shows 90% of Americans still worry about it. Virginia is responding with investments in reliable, around-the-clock power like nuclear and natural gas—keeping energy accessible, affordable, and secure as demand continues to rise. 

Full Gallup report at https://lnkd.in/edf_4NPS
",https://www.linkedin.com/feed/update/urn:li:activity:7347625577014542336,07/06/2025,545,,3.5%,4.8%,1
"While concern over energy affordability and availability has eased since a peak in 2022, a new Gallup poll shows 90% of Americans still worry about it. Virginia is responding with investments in reliable, around-the-clock power like nuclear and natural gas—keeping energy accessible, affordable, and secure as demand continues to rise. 

Full Gallup report at https://lnkd.in/edf_4NPS ",https://www.linkedin.com/feed/update/urn:li:activity:7317894854573780993,04/15/2025,399,,2.3%,4.8%,1
"As Virginia continues to pursue advanced nuclear as part of the Governor's all-of-the-above energy strategy, the Commonwealth is well-positioned to benefit from the widespread support for nuclear as we continue to shape the future of clean, reliable power for our state and the nation.

The U.S. Department of Energy (DOE)'s updated ""Advanced Nuclear Pathways to Commercial Liftoff"" report highlights nuclear's critical role in achieving the nation's decarbonization goals. The DOE sees the potential to triple U.S. nuclear capacity by 2050, providing clean, reliable power to complement renewables. With major support through tax credits, loan programs, fuel supply chain investments, research funding and more, the DOE is throwing its full weight behind advanced nuclear to meet climate goals while providing reliable, affordable energy.

Full report at: https://lnkd.in/gbnik7Uz

#nuclearpower #nuclearenergy #cleanenergy #decarbonization ",https://www.linkedin.com/feed/update/urn:li:activity:7246949364873465859,10/01/2024,252,,1.6%,4.8%,1
"Good jobs incoming! As Virginia pursues the deployment of nuclear, natural gas, and renewable resources as part of its all-of-the-above energy plan, Virginian's from all backgrounds can expect to see an increase in well-paying jobs across the energy sector.
 
More from the International Energy Agency's report on employment in the worldwide energy sector at  https://lnkd.in/dvnKEVRJ",https://www.linkedin.com/feed/update/urn:li:activity:7266813360711651328,11/25/2024,1094,,2.7%,4.8%,1
"Data centers do so much more than support AI; they host cloud applications, manage data storage, and enable critical infrastructure in a variety of sectors, from national security to healthcare. As we work to meet their growing energy demands sustainably, we're excited about the opportunities for innovation in clean energy and efficiency technologies that will benefit all Virginians.

Learn more about Virginia's energy future at: https://lnkd.in/d8FJcwa7",https://www.linkedin.com/feed/update/urn:li:activity:7288299653094146051,01/23/2025,992,,1.8%,4.7%,1
